Luni,IdLuna,Ani,Index,Valoare,Delta,FFT freq,FFT mag,FFT Complex
ianuarie,1,1992,1,3.5,0,0,0.003030303,-0.5
februarie,2,1992,2,3.9,0.4,0.003030303,0.04612612,7.600111879800383-0.4033917790722657i
martie,3,1992,3,4.4,0.5,0.006060606,0.043030129,1.2230095479076186-6.9938429777648805i
aprilie,4,1992,4,3.9,-0.5,0.009090909,0.053445364,7.297917242574328+4.950361817534174i
mai,5,1992,5,4.1,0.2,0.012121212,0.066771415,8.32639275452114-7.214687782051391i
iunie,6,1992,6,4.5,0.4,0.015151515,0.111642466,11.351860380846858-14.507541515214177i
iulie,7,1992,7,4.8,0.3,0.018181818,0.02944085,-2.5455766622075995-4.1373518092286306i
August,8,1992,8,5.9,1.1,0.021212121,0.078446647,-9.615289779043433-8.66518825525469i
septembrie,9,1992,9,6.7,0.8,0.024242424,0.054644309,8.989353785693964+0.6966946735815709i
octombrie,10,1992,10,7.4,0.7,0.027272727,0.002350579,-0.026383289428285606-0.38694715994701884i
noiembrie,11,1992,11,7.9,0.5,0.03030303,0.042457296,-3.2388066383047747-6.211804584397477i
decembrie,12,1992,12,8.2,0.3,0.033333333,0.047874134,7.875453663898863-0.6124517908670648i
ianuarie,1,1993,13,8.3,0.1,0.036363636,0.040022789,-1.1679116427773564-6.499663930318373i
februarie,2,1993,14,9,0.7,0.039393939,0.054485212,-8.894954662830912-1.3042080916736671i
martie,3,1993,15,9.3,0.3,0.042424242,0.044580555,7.261131898265213+1.1762793325826333i
aprilie,4,1993,16,9.2,-0.1,0.045454545,0.038295478,-2.1330483080847515-5.947836143167473i
mai,5,1993,17,9.1,-0.1,0.048484848,0.009325826,1.5267797513441659-0.19165071705003944i
iunie,6,1993,18,9.1,0,0.051515152,0.068985236,3.9319060790609295-10.681894748145965i
iulie,7,1993,19,9.1,0,0.054545455,0.067732735,-9.178061850041882-6.376829042992721i
August,8,1993,20,8.9,-0.2,0.057575758,0.038426297,-1.8592011820194365+6.061622663513926i
septembrie,9,1993,21,9.1,0.2,0.060606061,0.024926931,0.8849345220073956-4.016615023213872i
octombrie,10,1993,22,9.3,0.2,0.063636364,0.050183682,-7.975886435498072-2.2245734849227787i
noiembrie,11,1993,23,9.6,0.3,0.066666667,0.025090325,-1.966968727196966+3.64277856185908i
decembrie,12,1993,24,10.4,0.8,0.06969697,0.054223756,-1.8871463340046388-8.745630439404769i
ianuarie,1,1994,25,11,0.6,0.072727273,0.040824681,-5.9577895968976+3.1431533778496745i
februarie,2,1994,26,11.4,0.4,0.075757576,0.014969289,1.9686780752745423+1.491601160371308i
martie,3,1994,27,11.5,0.1,0.078787879,0.106279892,-17.194138796986827-3.446632961190099i
aprilie,4,1994,28,11.3,-0.2,0.081818182,0.1675955,-16.261243378834543+22.366819538119174i
mai,5,1994,29,11.2,-0.1,0.084848485,0.241517611,39.84940874759329+0.2819037345680293i
iunie,6,1994,30,10.8,-0.4,0.087878788,0.058399595,-3.466957700550109-8.990629214504049i
iulie,7,1994,31,10.7,-0.1,0.090909091,0.045874999,-2.235892911949216+7.231612370740045i
August,8,1994,32,10.5,-0.2,0.093939394,0.04853968,2.948324475810348-7.446624657601554i
septembrie,9,1994,33,10.6,0.1,0.096969697,0.028411442,-4.504954453728647+1.296795254647416i
octombrie,10,1994,34,10.8,0.2,0.1,0.028563531,2.6781152949374474+3.8781314915557354i
noiembrie,11,1994,35,10.8,0,0.103030303,0.04124339,1.1627641226502585-6.705085693906252i
decembrie,12,1994,36,10.9,0.1,0.106060606,0.04293382,-3.213488976462342+6.313294008732065i
ianuarie,1,1995,37,11,0.1,0.109090909,0.012803687,2.090854373481985-0.30239381929813114i
februarie,2,1995,38,11.1,0.1,0.112121212,0.032325778,-2.441845709684998-4.741973642224064i
martie,3,1995,39,10.9,-0.2,0.115151515,0.049758053,-5.050064820854033+6.473193720950337i
aprilie,4,1995,40,10.5,-0.4,0.118181818,0.038748752,5.9103446724130935+2.4382847240457917i
